"cntrl1_4h","cntr12_4h","cntrl3_4h","treat1_4h","treat2_4h","treat3_4h","cntrl1_24h","cntrl2_24h","cntrl3_24h","treat1_24h","treat2_24h","treat3_24h"
"Tcas000066",23.5504358555901,33.025275597457,27.1423618846726,24.1156629778889,31.2313375241598,28.5212795538197,19.4548619811857,24.8203626006088,25.348374551704,22.056686261594,24.6304345266623,24.1421529792795
"Tcas000072",4.35386209094943,3.91088789969885,3.49357133169053,3.9564759573099,3.68294074577356,1.52520211517753,3.62394487884832,3.35914681812751,2.88778950589033,2.42623548877534,4.72364497771606,2.89705835751353
"Tcas000081",47.6945801781279,32.7355801974793,42.1915922365702,36.9271089348924,46.2577357669159,48.9589878971986,35.6672469655072,32.4717525752326,43.3168425883549,43.4516719353402,51.4539899358356,50.6985212564869
"Tcas000079",578.667852451643,511.891771760583,563.271193171027,535.254675938925,594.573953997684,646.380656412235,684.734848161341,586.917596833946,599.858053473552,631.703494532052,626.726467579113,560.41984449234
"Tcas000078",93.8059377777287,81.983798193687,83.4426075761469,92.317772337231,88.5378955283964,80.3781514698556,114.058896713226,94.8025879782654,79.414211411984,141.383358936818,130.912446525274,117.16991579277
"Tcas000077",74.8072668354039,66.3402465948916,53.3441468723516,66.3180731891945,58.0431461533913,55.8223974154974,96.1299062599766,71.4751795190465,61.4457433753331,92.8586491613108,70.5172714530468,83.2099539352499
"Tcas000084",10.6867524050577,12.1672067990631,14.6461259674718,13.7534640420773,14.1424924637705,12.2016169214202,10.2996328135689,9.89082118670879,10.2676960209434,14.557412932652,14.5083381458422,16.094768652853
"Tcas000085",9.69723829347828,8.11147119937539,7.65898330409078,9.42018085073785,8.24978727053277,5.94828824919235,9.53669704960085,8.02462850997128,8.18207026668926,7.94040705417384,8.94118513639111,7.5645412668409
"Tcas000086",0.989514111579416,1.30362929989962,1.47804940956138,4.71009042536893,0.294635259661885,0.762601057588763,2.67027517388824,4.29224315649627,0.481298250981721,3.97020352708692,2.02441927616402,5.15032596891295
"Tcas000087",39.9763701078084,34.0392094973789,41.3853834677186,32.593825743553,42.5747950211424,37.5199720333671,35.6672469655072,42.1759544942677,34.4930413203567,33.305596255007,32.2220068122774,31.2238511865348
"Tcas000088",130.022154261535,65.1814649949808,85.3237613701341,291.271991904814,48.1728649547182,45.603543243808,181.960179706384,306.802076055646,132.838317270955,141.603925799434,309.230044434055,174.950135256512
"Tcas000089",63.3289031410827,32.7355801974793,44.4758504149833,38.4343378710104,19.4459271376844,29.7414412459617,115.775502182154,54.1195876253877,26.3109710536674,23.6006542999056,14.1709349331482,8.04738432642649
"Tcas000090",2.3748338677906,2.31756319982154,1.61241753770332,2.07243978716233,2.50439970712602,2.59284359580179,0.762935763968068,2.23943121208501,2.24605850458137,0.22056686261594,4.21754015867505,4.02369216321324
"Tcas000091",11.0825580496895,11.0084251991523,6.44967015081329,10.1737953187969,12.0800456461373,9.60877332561841,13.1606419284492,9.14434411601379,10.2676960209434,16.7630815588114,10.9656044125551,17.5432978316097
"Tcas000095",3.36434797937002,4.63512639964308,3.76230758797442,3.76807234029514,3.38830548611168,2.59284359580179,2.09807335091219,2.98590828278001,3.52952050719929,1.98510176354346,4.04883855232805,3.54084910362765
"Tcas000097",65.9016398311891,70.2511344945905,89.7579095988182,67.0716876572535,79.9934729982017,63.7534484144206,36.6209166704673,44.7886242417002,63.8522346302417,44.113372523188,63.2631023801258,54.8831611062286
"Tcas000098",33.4455769713843,35.4876864972673,35.741922085757,40.1299704241433,35.9455016787499,26.8435572271244,30.3266966177307,37.1372342670764,34.8139068210112,35.9523986063982,33.0655148440124,32.9942757383486
"Tcas000100",9.4993354711624,11.0084251991523,18.0053291710204,25.0576810629627,16.6468921708965,28.2162391307842,13.9235776924172,24.2605047975876,12.3533217751975,17.8659158718911,26.3174505901323,13.0367626088109
"Tcas000110",73.8177527238245,67.3541804948135,74.0368386062108,69.8977419124749,72.6275915066546,70.4643377212017,57.7923841205812,65.876601488834,56.9536263661704,71.4636634875646,70.3485698466998,61.3210685673698
"Tcas000109",1.38531975621118,1.59332469987731,1.34368128141943,1.69563255313281,2.20976444746414,2.59284359580179,0.572201822976051,1.1197156060425,1.44389475294516,0.66170058784782,0.674806425388008,1.12663380569971
"Tcas000104",73.6198499015086,71.2650683945124,66.512223430262,64.8108442530764,85.0022724124538,68.6340951829886,68.4734848161341,67.7427941655715,79.414211411984,69.919695449253,58.2020541897157,61.8039116269554
"Tcas000102",31.2686459259096,34.7634479973231,33.18892765106,33.347440211612,29.9054788556813,36.6048507642606,40.6263294312996,41.2428581558989,33.6908775687205,37.4963666447098,29.1853778980313,29.2924789481924
"Tcas000107",48.0903858227596,49.5379133961854,41.3853834677186,53.506627232191,44.9318770984374,37.6724922448849,56.075778651653,58.0385922465365,51.1780473543897,53.5977476156734,51.7913931485296,46.6748290932736
"Tcas000111",58.5792354055015,57.7942322955497,56.0315094351904,48.4197295727926,49.7933588828585,60.39800376103,62.9422005273656,58.9716885849052,56.1514626145342,58.2296517306082,48.5860626279366,48.7671490181445
"Tcas000108",260.638016990018,232.770253882076,302.193920191231,809.193535078382,6.48197571256147,229.085357699664,634.381087739449,584.304927086514,62.087474376642,6.83757274109414,1.01220963808201,2.09231992487089
"Tcas000106",147.041796980701,133.839274789694,136.92112257664,155.056176803145,124.483397207146,115.457800118939,181.5787118244,162.918620679184,148.400294052697,148.88263226576,137.829212385501,123.285927880854
"Tcas000114",133.980210707853,133.984122489683,99.9698873376059,137.911447654802,90.1583894565368,97.9179757943971,209.044399327251,199.869235678587,204.712189417559,198.28960949173,183.716049311885,191.52774696895
"Tcas000113",28.893812058119,33.7495140974012,25.5299443469693,23.5504521268446,26.0752204800768,29.7414412459617,29.9452287357467,23.8872662622401,28.2361640575943,29.1148258653041,23.4495232822333,25.4297344715077
"Tcas000112",5.9370846694765,7.96662349938655,8.06208768851661,8.10135553163455,6.62929334239241,6.86340951829886,4.38688064281639,5.41195876253877,5.9360117621079,4.85247097755068,7.76027389196209,6.92075052072678
"Tcas000103",48.2882886450755,53.1591058959066,46.6257404652544,64.0572297850174,49.3514059933657,40.5703762637222,52.6425677137967,52.6266334839977,40.5894858327918,48.5247097755068,44.8746272883025,50.0547305103727
"Tcas000116",7.52030724800357,9.12540509929732,7.79335143223272,6.97093382954601,6.18734045289958,2.74536380731955,9.34596310860883,12.3168716664675,21.0166902928685,11.2489099934129,11.4717092315961,14.3243441010391
"Tcas000117",14.0511003844277,14.7744653988623,10.6150821232135,10.7390061698412,8.54442253019466,9.45625311410066,13.7328437514252,11.7570138634463,13.7972165281427,17.6453490092752,12.8213220823722,9.01307044559766
"Tcas000118",19.9881850539042,24.9138043980816,19.6177467087237,23.1736448928151,18.7093389885297,15.8621019978463,14.6865134563853,21.8344543178288,20.2145265412323,16.5425146961955,19.4006847299052,19.152774696895
"Tcas001588",43.1428152648626,49.2482179962077,46.6257404652544,57.2746995724861,57.4538756340675,51.5518314930003,34.141375437571,47.2146747214589,48.9319888498083,36.1729654690142,40.4883855232805,52.6298934948292
"Tcas000379",224.223897683896,172.803306086694,187.712275014295,231.736448928151,502.205800093683,391.976943600624,342.558158021663,183.446740123297,223.643253956173,159.469841671325,95.4851091924031,87.7164891580487
"Tcas000333",79.1611289263533,71.5547637944901,70.0057947619525,80.2599408482865,68.7973331310501,57.957680376746,89.0727504432719,77.4469960846066,72.3551703975854,86.2416432828326,92.1110770654631,79.8300525181507
"Tcas000138",11.6762665166371,10.4290343991969,9.40576896993604,9.60858446775261,15.468351132249,14.0318594596332,15.6401831613454,10.0774404543825,14.1180820287972,21.6155525363621,26.3174505901323,19.7965654430092
"Tcas001666",159.707577608918,194.240765685043,162.047962539184,191.041267652964,192.986095078535,136.505589308389,208.090729622291,224.87621754687,212.092095932612,363.494189591069,335.547495024187,330.103705070014
